%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,,,,
1.53658E+18,781,895,898,818,1023,970,843,923,1014,661,556,883,,,,
1.53658E+18,781,895,897,818,1023,970,843,923,1013,661,556,884,,,,
1.53658E+18,781,895,898,818,1023,969,844,923,1013,661,556,883,,,,
1.53658E+18,781,895,898,819,1023,970,843,923,1014,661,556,883,,,,
1.53658E+18,781,895,898,819,1023,970,843,924,1014,661,556,883,,,,
1.53658E+18,781,895,898,818,1023,970,844,923,1013,661,556,883,,,,
1.53658E+18,781,895,898,819,1023,970,843,923,1014,661,556,883,,,,
1.53658E+18,781,895,897,818,1023,970,844,923,1015,661,556,884,,,,
1.53658E+18,780,894,898,818,1023,970,844,923,1014,661,557,883,,,,
1.53658E+18,780,895,898,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,781,895,898,819,1023,970,845,924,1014,662,557,884,,,,
1.53658E+18,780,894,898,818,1023,971,844,924,1013,662,556,883,,,,
1.53658E+18,780,895,899,818,1023,970,844,924,1014,662,557,883,,,,
1.53658E+18,780,894,898,818,1023,970,845,924,1014,662,557,884,,,,
1.53658E+18,780,895,898,818,1023,970,845,925,1014,662,557,883,,,,
1.53658E+18,780,894,898,819,1023,970,844,924,1013,663,557,883,,,,
1.53658E+18,781,894,898,818,1023,970,844,924,1014,662,557,883,,,,
1.53658E+18,780,894,898,818,1023,970,845,924,1014,662,557,883,,,,
1.53658E+18,781,895,898,818,1023,970,845,924,1014,662,557,883,,,,
1.53658E+18,780,894,898,818,1023,970,845,924,1013,663,557,883,,,,
1.53658E+18,780,894,898,818,1023,970,845,924,1014,663,557,883,,,,
1.53658E+18,780,895,898,818,1023,970,845,924,1014,662,557,883,,,,
1.53658E+18,781,894,898,818,1023,970,844,924,1014,662,557,884,,,,
1.53658E+18,780,895,898,818,1023,969,845,924,1014,662,557,884,,,,
1.53658E+18,780,894,898,818,1023,970,845,924,1013,662,557,883,,,,
1.53658E+18,780,894,898,818,1023,970,845,924,1014,662,557,883,,,,
1.53658E+18,780,895,898,818,1023,971,845,923,1014,662,557,883,,,,
1.53658E+18,780,895,897,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,845,924,1015,662,557,883,,,,
1.53658E+18,780,895,897,818,1023,970,845,923,1014,662,557,883,,,,
1.53658E+18,781,895,898,818,1023,970,845,924,1013,662,557,884,,,,
1.53658E+18,780,895,897,818,1023,970,844,923,1014,662,557,883,,,,
1.53658E+18,780,895,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,969,845,924,1014,662,556,884,,,,
1.53658E+18,780,895,897,818,1023,970,845,924,1014,662,557,884,,,,
1.53658E+18,780,895,898,818,1023,970,844,924,1015,662,556,883,,,,
1.53658E+18,781,895,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,781,894,898,818,1023,970,845,924,1014,662,556,884,,,,
1.53658E+18,781,895,897,819,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,845,923,1013,662,556,883,,,,
1.53658E+18,781,895,898,819,1023,970,844,924,1014,662,556,884,,,,
1.53658E+18,781,894,897,818,1023,970,845,924,1014,662,557,883,,,,
1.53658E+18,781,895,897,818,1023,970,845,924,1013,662,556,883,,,,
1.53658E+18,780,894,896,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,781,895,897,818,1023,970,844,924,1015,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,845,924,1014,662,556,883,,,,
1.53658E+18,781,894,897,818,1023,970,845,924,1014,662,556,883,,,,
1.53658E+18,780,895,897,818,1023,970,844,923,1013,663,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,845,923,1014,662,556,883,,,,
1.53658E+18,780,894,898,818,1023,969,845,924,1014,662,556,882,,,,
1.53658E+18,780,895,897,818,1023,971,845,924,1015,662,557,883,,,,
1.53658E+18,780,894,897,818,1023,970,845,924,1013,663,557,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,924,1014,663,557,883,,,,
1.53658E+18,780,894,897,818,1023,970,845,923,1014,662,556,884,,,,
1.53658E+18,780,895,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,924,1014,663,556,883,,,,
1.53658E+18,780,894,898,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,781,895,897,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,781,894,897,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,781,894,897,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,781,894,898,818,1023,970,844,924,1014,662,556,884,,,,
1.53658E+18,781,894,897,819,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,971,845,923,1014,662,556,883,,,,
1.53658E+18,781,895,897,819,1023,969,844,924,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,923,1015,662,556,883,,,,
1.53658E+18,781,895,897,819,1023,971,844,924,1014,662,556,883,,,,
1.53658E+18,781,895,897,819,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,781,895,897,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,781,894,897,819,1023,970,844,923,1015,662,556,883,,,,
1.53658E+18,781,895,897,818,1023,970,845,924,1014,662,556,883,,,,
1.53658E+18,781,895,897,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,781,894,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,781,894,897,818,1023,970,845,923,1014,662,556,883,,,,
1.53658E+18,780,895,897,818,1023,970,844,923,1014,662,556,883,,,,
